"","country","continent","variable","value"
"585","Nicaragua","North America","active_cases",5050
"586","Niger","Africa","active_cases",86
"587","Nigeria","Africa","active_cases",6284
"588","Norway","Europe","active_cases",47876
"589","Oman","Asia","active_cases",13848
"590","Pakistan","Asia","active_cases",66287
"591","Panama","North America","active_cases",12387
"592","Papua New Guinea","Australia/Oceania","active_cases",201
"593","Paraguay","South America","active_cases",18128
"594","Peru","South America","active_cases",NA
"595","Philippines","Asia","active_cases",60887
"596","Poland","Europe","active_cases",153978
"597","Portugal","Europe","active_cases",49256
"598","Qatar","Asia","active_cases",1906
"599","Reunion","Africa","active_cases",3062
"600","Romania","Europe","active_cases",1185
"601","Russia","Europe","active_cases",498691
"602","Rwanda","Africa","active_cases",25053
"603","Saint Barthelemy","North America","active_cases",732
"604","Saint Helena","Africa","active_cases",0
"605","Saint Kitts And Nevis","North America","active_cases",44
"606","Saint Lucia","North America","active_cases",124
"607","Saint Martin","North America","active_cases",1142
"608","Saint Pierre And Miquelon","North America","active_cases",2
"609","Saint Vincent And The Grenadines","North America","active_cases",50
"610","Samoa","Australia/Oceania","active_cases",0
"611","San Marino","Europe","active_cases",35
"612","Sao Tome And Principe","Africa","active_cases",51
"613","Saudi Arabia","Asia","active_cases",11404
"614","Senegal","Africa","active_cases",13801
"615","Serbia","Europe","active_cases",4249
"616","Seychelles","Africa","active_cases",557
"617","Sierra Leone","Africa","active_cases",1893
"618","Singapore","Asia","active_cases",2081
"619","Sint Maarten","North America","active_cases",81
"620","Slovakia","Europe","active_cases",572
"621","Slovenia","Europe","active_cases",1044
"622","Solomon Islands","Australia/Oceania","active_cases",0
"623","Somalia","Africa","active_cases",7051
"624","South Africa","Africa","active_cases",153103
"625","South Korea","Asia","active_cases",22073
"626","South Sudan","Africa","active_cases",416
"627","Spain","Europe","active_cases",654358
"628","Sri Lanka","Asia","active_cases",27258
"629","State Of Palestine","Asia","active_cases",1303
"630","Sudan","Africa","active_cases",3495
"631","Suriname","South America","active_cases",3032
"632","Swaziland","Africa","active_cases",4274
"633","Sweden","Europe","active_cases",9393
"634","Switzerland","Europe","active_cases",14658
"635","Syria","Asia","active_cases",2062
